Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
534,Wajdi Kechrida,DF,tn Tunisia,26,1995,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,11962fe7
535,Thilo Kehrer,DF,de Germany,25,1996,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,51dbeea9
536,Bilal El Khannous,MF,ma Morocco,18,2004,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7042636
537,Musab Kheder,DF,qa Qatar,28,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d9261523
538,Boualem Khoukhi,DF,qa Qatar,31,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7be5ad52
539,Simon Kjær,DF,dk Denmark,33,1989,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8b8a56ce
540,Lukas Klostermann,DF,de Germany,26,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ca8033cb
541,Gregor Kobel,GK,ch Switzerland,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,cd59b9df
542,Koke,MF,es Spain,30,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,55126f3b
543,Ismaël Koné,MFDF,ca Canada,20,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0220b70
544,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d3c902d
545,Takefusa Kubo,FW,jp Japan,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,16aa3654
546,Daniel Kyereh,MFDF,gh Ghana,26,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2770726a
547,Noa Lang,MF,nl Netherlands,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8e034340
548,Matthijs de Ligt,DF,nl Netherlands,22,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d6e53a3a
549,Dominik Livaković,GK,hr Croatia,27,1995,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58f077c0
550,Hugo Lloris,GK,fr France,35,1986,6.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f62b6ee
551,Ali Maâloul,DF,tn Tunisia,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c69ff23a
552,Awer Mabil,MF,au Australia,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,922da988
553,Jamie Maclaren,FW,au Australia,28,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a8ba67e
554,Assim Madibo,MF,qa Qatar,25,1996,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2b1d2ada
555,Abdullah Madu,DFMF,sa Saudi Arabia,28,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9c3523a4
556,Nemanja Maksimović,MF,rs Serbia,27,1995,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,00b28772
557,Steve Mandanda,GK,fr France,37,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1d2d5cc8
558,João Mário,FWMF,pt Portugal,29,1993,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f0021247
559,Carlos Martínez,DF,cr Costa Rica,23,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9acb9d76
560,Emiliano Martínez,GK,ar Argentina,29,1992,7.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7956236f
561,Rónald Matarrita,DFMF,cr Costa Rica,27,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,491862dd
562,Hannibal Mejbri,MF,tn Tunisia,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ca22ccb0
563,Nuno Mendes,DF,pt Portugal,19,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f20e4cc9
564,Jhegson Méndez,MF,ec Ecuador,25,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db0c5324
565,Edouard Mendy,GK,sn Senegal,30,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,33887998
566,Gideon Mensah,DF,gh Ghana,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9bdd8118
567,Chris Mepham,DF,wls Wales,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fed96827
568,Vanja Milinković-Savić,GK,rs Serbia,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9fa26bc2
569,Liam Millar,DF,ca Canada,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,983515f8
570,Kamal Miller,DF,ca Canada,25,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0646bd8a
571,Stefan Mitrović,DF,rs Serbia,32,1990,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e6777e6b
572,Milad Mohammadi,DF,ir IR Iran,28,1993,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,740a0e28
573,Sadegh Moharrami,DF,ir IR Iran,26,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,25b74470
574,Kim Moonhwan,DF,kr Korea Republic,26,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6bce7dd8
575,Shaquell Moore,DF,us United States,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3b9f859b
576,Joe Morrell,MF,wls Wales,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3b935a91
577,Jordan Morris,FWDF,us United States,27,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bd298d0d
578,Youssoufa Moukoko,FW,de Germany,17,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6ce43701
579,Munir,GK,ma Morocco,33,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fc8287db
580,Yuto Nagatomo,MFDF,jp Japan,35,1986,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4b6960d2
581,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,978e29d3
582,Keylor Navas,GK,cr Costa Rica,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ecada4fc
583,Victor Nelsson,DF,dk Denmark,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e53b5534
584,Manuel Neuer,GK,de Germany,36,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8778c910
585,Moumi Ngamaleu,FWMF,cm Cameroon,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0193a8bf
586,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32bb1138
587,Rasmus Nissen,DF,dk Denmark,24,1997,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,39769cff
588,Andries Noppert,GK,nl Netherlands,28,1994,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2dc9d6fb
589,Christian Nørgaard,MF,dk Denmark,28,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,df0a4c90
590,Guillermo Ochoa,GK,mx Mexico,36,1985,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1e9bde92
591,Denis Odoi,DF,gh Ghana,34,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7750aa0
592,André Onana,GK,cm Cameroon,26,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9c0c1b2
593,Gaël Ondoua,MF,cm Cameroon,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c41b738
594,Loïs Openda,FW,be Belgium,22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8652a85c
595,Samuel Oum Gouet,MF,cm Cameroon,24,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b82359be
596,Bryan Oviedo,DF,cr Costa Rica,32,1990,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31faf295
597,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f2c060c6
598,Benjamin Pavard,DF,fr France,26,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45a03961
599,Pedri,MF,es Spain,19,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d9b2d31
600,Danilo Pereira,DF,pt Portugal,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8fd9996f
601,Kalvin Phillips,MF,eng England,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f565d77
602,Jordan Pickford,GK,eng England,28,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4806ec67
603,Baba Rahman,DF,gh Ghana,27,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4086af3
604,David Raum,DF,de Germany,24,1998,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7d450ed3
605,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d59acc5e
606,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5d7b7f0e
607,Everton Ribeiro,MF,br Brazil,33,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,68fb50a2
608,Declan Rice,MF,eng England,23,1999,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1c7012b8
609,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c2bd8585
610,Connor Roberts,DF,wls Wales,26,1995,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,24fae784
611,Antonee Robinson,DF,us United States,24,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,289601e6
612,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,81b99b9e
613,Joe Rodon,DF,wls Wales,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d62d31a
614,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f0acf582
615,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34e393f2
616,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f78ad23
617,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4db6d4d
618,Cristian Romero,DF,ar Argentina,24,1998,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3d94a58
619,Marten de Roon,MF,nl Netherlands,31,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a1beb34
620,Kye Rowles,DF,au Australia,23,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8caf6772
621,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fa6292e2
622,Mathew Ryan,GK,au Australia,30,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4535e4bb
623,Youstin Salas,DFMF,cr Costa Rica,25,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,055dd4d3
624,William Saliba,DF,fr France,21,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,972aeb2a
625,Tarek Salman,DF,qa Qatar,24,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420f4985
626,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34e12499
627,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53af52f3
628,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eabaafa6
629,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,251c164e
630,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3e8326a9
631,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e00ad66a
632,André Silva,FW,pt Portugal,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3effaa34
633,António Silva,DF,pt Portugal,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f0435c7
634,Unai Simón,GK,es Spain,25,1997,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5dcf3e90
635,Xavi Simons,FWMF,nl Netherlands,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da4d670f
636,Robert Skov,DF,dk Denmark,26,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff98492b
637,Yann Sommer,GK,ch Switzerland,33,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420c18a1
638,Renato Steffen,FW,ch Switzerland,30,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd669209
639,Josip Šutalo,DF,hr Croatia,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,33a6a650
640,Karol Świderski,FW,pl Poland,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41723204
641,Wojciech Szczęsny,GK,pl Poland,32,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01b8a2b2
642,Damian Szymański,MF,pl Poland,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e935dbbf
643,Sebastian Szymański,MF,pl Poland,23,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bb718263
644,Hassan Al Tambakti,DF,sa Saudi Arabia,23,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6d78c320
645,Kenneth Taylor,MF,nl Netherlands,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad9b2747
646,Alex Telles,DF,br Brazil,29,1992,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e73c9bb2
647,Sorba Thomas,MF,wls Wales,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8725a42e
648,Youri Tielemans,MF,be Belgium,25,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,56f7a928
649,Jurriën Timber,DF,nl Netherlands,20,2001,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41034650
650,Nouhou Tolo,DF,cm Cameroon,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0796512f
651,Takehiro Tomiyasu,DFMF,jp Japan,23,1998,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3af9be1
652,Pau Torres,DF,es Spain,25,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,532e1e4f
653,Leandro Trossard,FWMF,be Belgium,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,38ceb24a
654,Matt Turner,GK,us United States,27,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4a51ba65
655,Ayase Ueda,FW,jp Japan,23,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c0295327
656,Guillermo Varela,DF,uy Uruguay,29,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c961282
657,Miloš Veljković,DF,rs Serbia,26,1995,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a5ae8f8e
658,Johan Venegas,FWMF,cr Costa Rica,33,1988,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5eadd340
659,Jordan Veretout,MF,fr France,29,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4a56052c
660,Matías Viña,DF,uy Uruguay,24,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,08eb3b58
661,Steven Vitória,DF,ca Canada,35,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9bc450e6
662,Mohammed Waad,MFDF,qa Qatar,22,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,94e8df02
663,Kyle Walker,DF,eng England,32,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,86dd77d1
664,Danny Ward,GK,wls Wales,28,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d3ce0e89
665,Wéverton,GK,br Brazil,34,1987,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,81be82e9
666,Callum Wilson,FW,eng England,30,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c596fcb0
667,Roan Wilson,MF,cr Costa Rica,20,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,719300f2
668,David Wotherspoon,MF,ca Canada,32,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9a9b1fa
669,Bailey Wright,DF,au Australia,29,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4be70ecf
670,Miki Yamane,DFMF,jp Japan,28,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b712e02d
671,DeAndre Yedlin,DF,us United States,28,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae0a7ddf
672,Maya Yoshida,DF,jp Japan,33,1988,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,caffaf5a
673,Cho Yumin,FW,kr Korea Republic,25,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a4529dc
674,Nicola Zalewski,MF,pl Poland,20,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45191c29
675,Álvaro Zamora,MF,cr Costa Rica,20,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d050756d
676,Anass Zaroury,FW,ma Morocco,21,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,07d65234
677,Filip Đuričić,MFFW,rs Serbia,30,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eccbe56a
678,Yahya Jabrane,MF,ma Morocco,30,1991,0.2,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,143efbd5
679,Ismail Mohamad,FW,qa Qatar,32,1990,1.9,0,2,2,100.0,1.03,1.03,0.00,0.00,,,0,0,,,,,,Matches,b554011a
680,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,0,2,1,50.0,90.00,45.00,0.00,0.00,,,0,0,,,,,,Matches,189fb038
