Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
320,Kaoru Mitoma,MF,jp Japan,25,1997,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,21.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,74618572
321,Harry Souttar,DF,au Australia,23,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,0a6cb1b1
322,Dušan Tadić,MFFW,rs Serbia,33,1988,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,2475dcc6
323,Brenden Aaronson,MF,us United States,21,2000,1.2,0,1,0,0.0,0.83,0.00,0.00,,4.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,5bc43860
324,Abdulrahman Al-Aboud,MFDF,sa Saudi Arabia,27,1995,0.4,0,1,0,0.0,2.57,0.00,0.00,,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,9bf54a3b
325,Abdulelah Al-Amri,DF,sa Saudi Arabia,25,1997,2.0,0,1,0,0.0,0.49,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,fd0affe3
326,Karim Ansarifard,FWMF,ir IR Iran,32,1990,0.4,0,1,0,0.0,2.57,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,50cddd19
327,Martin Braithwaite,FWMF,dk Denmark,31,1991,1.1,0,1,0,0.0,0.87,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,fd771f95
328,Dylan Bronn,DF,tn Tunisia,26,1995,1.8,0,1,0,0.0,0.56,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,edd81e2a
329,William Carvalho,MF,pt Portugal,30,1992,2.4,0,1,0,0.0,0.42,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,dee86451
330,Axel Disasi,DF,fr France,24,1998,1.0,0,1,0,0.0,0.98,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ad82197c
331,Pervis Estupiñán,DF,ec Ecuador,24,1998,3.0,0,1,1,100.0,0.33,0.33,0.00,0.00,14.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,d38fdf53
